Ticker;Empresa;Sector;Industria;País;Moneda;Precio actual;Cap. Mercado;Beta;P/E (trailing);P/E (forward);P/B;P/S;EV/EBITDA;PEG Ratio;Valor Graham;Upside vs Graham (%);ROE (%);ROA (%);Margen Bruto (%);Margen Operativo (%);Margen Neto (%);Margen EBITDA (%);Deuda/Equity;Current Ratio;Quick Ratio;Crec. Ingresos YoY (%);Crec. Ganancias YoY (%);Div. Yield (%);Payout Ratio (%);Máximo 52s;Mínimo 52s;Dist. Máx 52s (%);Dist. Mín 52s (%);Score Cuantitativo
TGSU2.BA;Transportadora Gas del Sur;Energy;Oil & Gas Integrated;Argentina;ARS;9145,0;6884000006144,0;-0,327;16,366598;10.637482;2,2008636;4,0008693;7,183;;7227.68;-20.97;13,88;9.54;54,86;53,99;24,46;54,96;54,529;5,002;4,535;4,1;-24,8;290,0;47,52;10700,0;5900,0;-14,53;55,0;44.5
ALUA.BA;Aluar;Basic Materials;Aluminum;Argentina;ARS;980,5;2745400033280,0;-0,088;3381,0347;37.857143;1,5447781;1,567224;14,748;;64.35;-93.44;1,04;3.3;17,7;14,98;0,06;13,78;53,802;2,244;0,668;28,8;;30,0;870,59;1170,0;582,0;-16,2;68,47;43.1
ITUB4.SA;Itaú Unibanco;Financial Services;Banks - Regional;Brazil;BRL;42,91;472926519296,0;0,267;10,7007475;8.239659;2,3137064;3,4036467;;1.4;40.91;-4.66;21,01;1.55;0,0;37,3;32,28;0,0;;;;11,0;2,8;124,0;85,03;49,67;33,15534;-13,61;29,42;42.8
CAT;Caterpillar;Industrials;Farm & Heavy Construction Machinery;United States;USD;813,52;378460078080,0;1,519;43,242428;29.069826;17,753017;5,600328;29,745;2.23;139.25;-82.88;43,53;7.89;28,79;16,02;13,14;20,66;206,67;1,436;0,871;18,0;-11,4;74,0;31,05;845,27;302,18;-3,76;169,22;40.0
TSLA;Tesla;Consumer Cyclical;Auto Manufacturers;United States;USD;374,59;1406856593408,0;1,915;381,12;147.74628;17,66;15,29;122,6;5.14;23.17;-93.81;4,62;2.23;18,03;4,59;4,0;12,41;0,1;2,16;1,77;-2,93;-46,79;0,0;0,0;498,83;270,78;-24,91;38,34;39.9
WMT;Walmart;Consumer Defensive;Discount Stores;United States;USD;127,7444;1018249412608,0;0,661;43,48;38.91846;9,55;1,33;21,68;4.87;27.71;-78.31;21,98;6.83;24,93;4,18;3,07;6,52;0,67;0,79;0,24;4,73;12,64;0,79;34,29;134,69;91,89;-5,16;39,02;39.8
TECO2.BA;Telecom Argentina;Communication Services;Telecom Services;Argentina;ARS;3710,0;7990182674432,0;0,366;;-53.53535;1,1640943;0,9593422;5,453;0.35;;;-2,04;2.2;75,42;7,0;-2,04;27,23;83,423;0,478;0,431;60,6;25,3;41,0;0,0;4177,5;2000,0;-11,19;85,5;37.9
XOM;ExxonMobil;Energy;Oil & Gas Integrated;United States;USD;154,089;640480116736,0;0,288;17,96;15.154457;2,0;1,6;8,12;1.37;96.73;-37.22;11,12;4.9;21,68;10,48;8,91;20,95;0,17;1,15;0,79;-4,52;-14,36;3,33;59,74;176,41;101,19;-12,65;52,28;37.7
JPM;JPMorgan Chase;Financial Services;Banks - Diversified;United States;USD;309,0;827965505536,0;1,043;16,04;13.142991;2,48;3,21;18,39;1.66;245.7;-20.49;15,74;1.27;59,91;25,95;20,39;29,1;2,6;0,52;0,52;3,31;-2,43;1,85;29,14;337,25;238,43;-8,38;29,6;37.0
RDOR3.SA;Rede D'Or;Healthcare;Medical Care Facilities;Brazil;BRL;37,69;83012812800,0;0,817;17,694834;13.195623;4,2971153;1,4896643;8,611;;20.5;-45.61;20,05;5.98;21,85;17,81;8,41;20,55;240,987;2,79;2,681;11,9;23,8;166,0;157,23;48,41;31,31;-22,14;20,38;36.9
BA;Boeing;Industrials;Aerospace & Defense;United States;USD;222,43;175342075904,0;1,128;87,2;50.782288;30,35;1,85;28,4;4.61;20.83;-90.64;40,98;-2.07;4,79;-6,05;2,5;8,23;9,98;1,19;0,4;34,5;118,91;0,2;14,81;254,35;176,77;-12,55;25,83;36.7
BPAC11.SA;BTG Pactual;Financial Services;Capital Markets;Brazil;BRL;58,38;196714921984,0;0,471;95,08143;9.846103;4,015407;4,7076864;;;14.17;-75.73;23,87;2.31;0,0;44,47;38,16;0,0;;;;18,7;40,9;232,0;;65,5;37,18;-10,87;57,02;35.5
GS;Goldman Sachs;Financial Services;Capital Markets;United States;USD;906,28;268941246464,0;1,311;16,92;13.866937;2,2;2,2;29,96;1.43;665.78;-26.54;13,74;0.94;47,48;17,47;13,73;19,21;4,88;0,83;0,83;-1,38;20,31;1,92;30,72;984,7;531,45;-7,96;70,53;35.4
EGIE3.SA;Engie Brasil;Utilities;Utilities - Renewable;Brazil;BRL;34,78;39731675136,0;0,324;15,38938;12.496271;3,114255;3,089537;9,797;1.38;23.83;-31.48;21,82;6.56;46,71;38,51;20,08;53,7;214,196;1,122;0,986;4,5;-42,2;521,0;59,4;39,36;27,507141;-11,64;26,44;34.1
BBDC4.SA;Bradesco;Financial Services;Banks - Regional;Brazil;BRL;19,1;201900605440,0;0,363;8,967135;6.300387;1,1323216;2,2617729;;2.03;28.43;48.85;13,75;1.09;0,0;24,81;26,52;0,0;;;;6,0;57,2;116,0;67,43;22,12;12,95;-13,65;47,49;34.0
BAC;Bank of America;Financial Services;Banks - Diversified;United States;USD;52,85;376815648768,0;1,237;14,18;10.4864435;1,34;2,11;13,48;0.94;59.14;11.9;10,06;0.93;56,08;19,68;15,93;20,89;1,21;0,42;0,42;-0,45;12,45;2,36;31,34;57,55;38,82;-8,17;36,14;32.7
UNH;UnitedHealth;Healthcare;Healthcare Plans;United States;USD;368,785;334935392256,0;0,408;24,95;17.769629;3,19;0,67;15,37;1.24;175.91;-52.3;12,81;3.78;18,53;4,24;2,69;5,15;0,83;0,79;0,79;11,81;-16,31;2,64;65,66;413,26;234,6;-10,76;57,2;29.4
CVX;Chevron;Energy;Oil & Gas Integrated;United States;USD;191,74;381926670336,0;0,587;22,92;16.343153;1,51;1,53;7,78;1.14;118.51;-38.19;6,6;3.79;30,41;9,04;6,67;22,46;0,25;1,15;0,86;-4,64;-30,36;4,52;103,68;214,71;133,77;-10,7;43,34;28.9
BBAS3.SA;Banco do Brasil;Financial Services;Banks - Regional;Brazil;BRL;21,86;124785147904,0;0,406;9,108334;4.206459;0,67890304;1,6893817;;0.3;41.7;90.76;11,06;0.86;0,0;18,38;24,11;0,0;;;;-34,3;-54,4;124,0;20,71;30,04;18,12;-27,23;20,64;26.6
HAPV3.SA;Hapvida;Financial Services;Insurance - Life;Brazil;BRL;11,66;5539201024,0;0,098;;5.360747;0,114724256;0,17541751;5,057;;;;-0,29;1.35;11,79;3,82;-0,45;8,49;32,55;1,899;1,718;6,5;;;0,0;44,85;7,0;-74,0;66,57;26.1
VALE3.SA;Vale;Basic Materials;Other Industrial Metals & Mining;Brazil;BRL;79,72;347987050496,0;0,889;28,989092;7.227079;1,8464817;1,629191;5,713;;51.69;-35.16;5,87;7.79;34,98;27,64;6,47;35,99;61,326;1,153;0,716;0,5;;817,0;208,55;91,62;49,72;-12,99;60,34;23.5
LOMA.BA;Loma Negra;Basic Materials;Building Materials;Argentina;ARS;3255,0;1899237605376,0;0,691;80,60921;0.49378034;1,7796143;2,2394383;13,21;;1289.1;-60.4;2,16;2.89;21,79;10,25;2,78;19,93;28,274;1,437;0,459;-3,2;-82,2;;0,0;4130,0;2122,0;-21,19;53,39;23.3
RENT3.SA;Localiza;Industrials;Rental & Leasing Services;Brazil;BRL;45,53;48015130624,0;0,34;25,869318;9.152255;1,9524851;1,1491935;10,627;0.58;30.39;-33.25;7,21;5.75;21,95;21,75;4,49;19,49;177,47;1,199;0,953;11,7;10,9;441,0;113,41;53,35;32,7;-14,66;39,24;22.0
MGLU3.SA;Magazine Luiza;Consumer Cyclical;Specialty Retail;Brazil;BRL;8,14;6307526144,0;1,12;31,307695;9.127914;0,55906594;0,16297092;8,723;0.26;9.23;13.39;1,81;1.98;29,85;0,98;0,53;3,88;75,62;1,155;0,705;3,4;-55,5;30,0;110,09;11,55238;6,209523;-29,54;31,09;19.9
EQTL3.SA;Equatorial;Utilities;Utilities - Regulated Electric;Brazil;BRL;41,66;52418220032,0;0,08;43,395836;17.99568;2,0353723;1,006614;8,725;3.0;21.03;-49.52;6,98;4.89;22,14;8,66;3,22;22,26;194,885;1,494;1,456;14,3;;556,0;247,28;46,32;33,16;-10,06;25,63;18.4
HARG.BA;Holcim Argentina;Basic Materials;Building Materials;Argentina;ARS;1795,0;656970022912,0;0,251;;67.88956;1,1311933;1,3158691;27,822;;;;-6,69;-1.52;25,81;-10,03;-8,05;5,24;10,466;0,577;0,203;-5,4;;;0,0;2850,0;935,0;-37,02;91,98;18.1
COME.BA;Soc. Comercial del Plata;Industrials;Conglomerates;Argentina;ARS;46,48;325359992832,0;-0,027;;11.649122;0,6022754;0,49601045;21,428;;;;-9,91;-0.78;9,95;-0,71;-8,87;2,25;7,001;1,637;1,0;1,5;;134,0;0,0;85,0;29,1;-45,32;59,73;17.1
MIRG.BA;Mirgor;Technology;Consumer Electronics;Argentina;ARS;19050,0;3427484827648,0;;275,96698;;9,512576;1,2563155;;;1763.63;-90.74;3,54;6.46;21,48;-0,69;0,46;7,35;151,515;0,947;0,371;6,4;;20,0;55,65;28250,0;14600,0;-32,57;30,48;14.3
MCD;McDonald's;Consumer Cyclical;Restaurants;United States;USD;289,675;205908983808,0;0,532;24,220316;20.173857;-114,996025;7,65888;17,937;2.69;;;;13.51;57,41;45,07;31,85;54,28;;0,955;0,743;9,7;8,2;254,0;60,0;341,75;283,47;-15,24;2,19;12.9
BMA.BA;Banco Macro;Financial Services;Banks - Regional;Argentina;ARS;10900,0;6969354092544,0;0,661;24,086802;7.2461066;1,3320562;1,7149476;;;9127.82;-16.26;5,5;1.37;0,0;23,04;7,12;0,0;;;;-3,1;-26,6;690,0;87,03;16240,0;5895,0;-32,88;84,9;9.5
GGAL.BA;Grupo Financiero Galicia;Financial Services;Banks - Regional;Argentina;ARS;6360,0;10215773700096,0;0,562;48,05077;5.9917707;1,3153569;1,6088604;;0.02;3794.69;-40.34;2,49;0.44;0,0;-3,54;3,09;0,0;;;;-10,0;;479,0;159,75;9395,0;3990,0;-32,3;59,4;2.1
MOLI.BA;Molinos Río de la Plata;Consumer Defensive;Packaged Foods;Argentina;ARS;2735,0;550870384640,0;-0,01;;112.551445;2,1996725;0,57868004;90,896;;;;-12,56;-1.26;24,46;1,63;-4,28;0,88;106,525;1,132;0,517;-4,6;;1913,0;250,25;4475,0;2050,0;-38,88;33,41;1.2
CPLE6.SA;Copel;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
YPF.BA;YPF;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
JBSS3.SA;JBS;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
EMBR3.SA;Embraer;N/D;N/D;N/D;N/D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
SUPV.BA;Supervielle;Financial Services;Banks - Regional;Argentina;ARS;2545,0;1114025885696,0;0,671;;8.285576;1,1059932;1,528187;;;;;-4,66;-0.71;0,0;-18,16;-6,66;0,0;;;;-29,8;;231,0;103,12;4265,0;1431,0;-40,33;77,85;-3.9
CSNA3.SA;CSN;Basic Materials;Steel;Brazil;BRL;6,26;8301348352,0;1,521;;-7.215141;0,64469624;0,18530644;6,313;0.33;;;-9,66;2.56;26,14;4,93;-4,47;17,89;343,271;1,08;0,668;-5,2;;1564,0;0,0;11,32;5,67;-44,7;10,41;-8.1
RAIZ4.SA;Raízen;Utilities;Utilities - Renewable;Brazil;BRL;0,47;4861264384,0;0,414;;-2.7944586;-3,051948;0,020931475;103,278;;;;-231,28;-3.15;3,96;-10,46;-9,58;0,28;;1,691;0,987;-9,7;;;0,0;2,23;0,43;-78,92;9,3;-192.7
NFLX;Netflix, Inc.;Communication Services;Entertainment;US;USD;78,25;325828304922,0;1,53;36,34;;14,9;8,78;13,29;;;;41,26;;48,49;29,49;24,3;66,96;0,54;1,19;1,19;15,85;26,05;0,0;0,0;126,7;65,08;-38,24;20,24;
AMD;Advanced Micro Devices, Inc.;Technology;Semiconductors;US;USD;477,57;778725642000,0;2,48;80,52;;5,54;10,08;47,85;;;;6,88;;49,52;10,66;12,51;21,0;0,07;2,85;2,01;34,34;164,17;0,0;0,0;584,73;149,22;-18,33;220,04;
PLTR;Palantir Technologies Inc.;Technology;Software - Infrastructure;US;USD;174,33;400273883100,0;1,62;257,61;;57,02;94,11;249,48;;;;22,0;;82,37;31,59;36,31;37,62;0,03;7,11;7,11;56,18;251,59;0,0;0,0;207,52;106,37;-15,99;63,89;
